A10_B000274_S10.homo
A17_B000861_S89.homo
A1_B000280_S229.homo
A1_B002365_S121.homo
A20_B003648_S164.homo
A21_B003648_S165.homo
A2_B000280_S230.homo
B14_B000861_S110.homo
B16_B000861_S112.homo
B1_B000280_S253.homo
B20_B003648_S188.homo
B21_B000279_S33.homo
B21_B000861_S117.homo
B21_B003648_S189.homo
B22_B000274_S46.homo
B22_B003648_S190.homo
B2_B000280_S254.homo
B2_B002365_S146.homo
C10_B000274_S58.homo
C11_B000274_S59.homo
C18_B000861_S138.homo
C1_B000280_S277.homo
C1_B002365_S169.homo
C20_B003648_S212.homo
C21_B000279_S57.homo
C21_B003648_S213.homo
C22_B000274_S70.homo
C22_B003648_S214.homo
C2_B000280_S278.homo
C2_B002365_S170.homo
C4_B000279_S40.homo
C6_B003654_S150.homo
D10_B000274_S82.homo
D10_B002365_S202.homo
D14_B000861_S158.homo
D1_B002365_S193.homo
D21_B000279_S81.homo
D22_B000861_S166.homo
D22_B003648_S238.homo
D2_B002365_S194.homo
D4_B000861_S148.homo
D4_B003067_S160.homo
E13_B000861_S181.homo
E17_B000861_S185.homo
E18_B000861_S186.homo
E19_B000861_S187.homo
E1_B000280_S25.homo
E20_B000274_S116.homo
E20_B003648_S260.homo
E21_B003648_S261.homo
E22_B000274_S118.homo
E22_B000861_S190.homo
E22_B003648_S262.homo
F17_B003067_S221.homo
F18_B000861_S210.homo
F1_B000280_S49.homo
F20_B000274_S140.homo
F21_B000279_S129.homo
F21_B000861_S213.homo
F21_B003648_S285.homo
F22_B000274_S142.homo
F22_B003648_S286.homo
F2_B000280_S50.homo
F2_B002365_S242.homo
G11_B000274_S155.homo
G12_B000861_S228.homo
G18_B000861_S234.homo
G1_B000280_S73.homo
G20_B003648_S8.homo
G21_B003648_S9.homo
G3_B000861_S219.homo
H12_B000863_S120.homo
H12_B000901_S132.homo
H16_B000861_S256.homo
H1_B000280_S97.homo
H1_B002365_S289.homo
H20_B000274_S188.homo
H20_B000861_S260.homo
H20_B003648_S32.homo
H21_B000274_S189.homo
H21_B000279_S177.homo
H21_B000861_S261.homo
H21_B000863_S129.homo
H21_B003648_S33.homo
H22_B000863_S130.homo
H2_B002365_S290.homo
H6_B002365_S294.homo
I15_B000861_S279.homo
I1_B000280_S121.homo
I1_B002365_S13.homo
I21_B000279_S201.homo
I21_B000861_S285.homo
I21_B003648_S57.homo
I22_B000274_S214.homo
I22_B003648_S58.homo
I2_B000280_S122.homo
J13_B000575_S253.homo
J15_B000861_S3.homo
J15_B000863_S171.homo
J16_B000861_S4.homo
J16_B002365_S52.homo
J17_B000861_S5.homo
J19_B000861_S7.homo
J1_B000280_S145.homo
J20_B000274_S236.homo
J20_B000863_S176.homo
J20_B003648_S80.homo
J21_B000861_S9.homo
J21_B003648_S81.homo
J22_B000274_S238.homo
J22_B000861_S10.homo
J2_B000575_S242.homo
J2_B002365_S38.homo
K10_B000274_S250.homo
K12_B000863_S192.homo
K15_B000861_S27.homo
K17_B000863_S197.homo
K1_B000280_S169.homo
K1_B002365_S61.homo
K20_B000274_S260.homo
K21_B000279_S249.homo
K21_B003648_S105.homo
K22_B000863_S202.homo
K22_B003648_S106.homo
K2_B000280_S170.homo
K2_B002365_S62.homo
L10_B000274_S274.homo
L10_B000901_S226.homo
L15_B000861_S51.homo
